/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.08742014567057292, 0.0376129150390625, 0.041842142740885414, 0.028275807698567707, 0.024824778238932293, 0.024280548095703125, 0.022717793782552082, 0.017269134521484375, 0.014692942301432291, 0.013006846110026041, 0.010974884033203125, 0.01032257080078125, 0.009822845458984375, 0.008663177490234375, 0.008577982584635416, 0.008282979329427084, 0.008183797200520834, 0.007923126220703125, 0.008616129557291666, 0.009258270263671875, 0.009507497151692709, 0.00963592529296875, 0.010072072347005209, 0.011280059814453125, 0.012514750162760416, 0.014039357503255209, 0.01373291015625, 0.013448079427083334, 0.013128916422526041, 0.01313018798828125, 0.013186136881510416, 0.013014475504557291, 0.0123443603515625, 0.012480417887369791, 0.012165069580078125, 0.012022654215494791, 0.01201629638671875, 0.012341817220052084, 0.012560526529947916, 0.013169606526692709, 0.014470418294270834, 0.01587677001953125, 0.017168680826822918, 0.018170674641927082, 0.019863128662109375, 0.022421518961588543, 0.023999532063802082, 0.0233154296875, 0.020664215087890625, 0.0169677734375, 0.013409932454427084, 0.010809580485026041, 0.009195963541666666, 0.008136749267578125, 0.008518218994140625, 0.009256998697916666, 0.008818308512369791, 0.009035746256510416, 0.008164723714192709, 0.0073394775390625, 0.007181803385416667, 0.006717681884765625, 0.007737477620442708, 0.044399261474609375]
/static/dataset/ferrari\black\2888849442_c672a6ba10_b.jpg	[0.21651630055788004, 0.04285297899232915, 0.024646966527196654, 0.018534257322175732, 0.016590666405160392, 0.01561410390516039, 0.015686290533472803, 0.015408440115062762, 0.014241195955369596, 0.01447682400627615, 0.014826861052998606, 0.014896323657601115, 0.014642989452580196, 0.014701555962343096, 0.01628829977336123, 0.01556779550209205, 0.015413888162482566, 0.0163727445083682, 0.01026139731520223, 0.007828844142259414, 0.007429774668758717, 0.007071565550906555, 0.006600309449093445, 0.005900235355648536, 0.005740879968619247, 0.0058825292015341705, 0.005804894525801953, 0.006262530509065551, 0.006619377615062761, 0.007052497384937239, 0.007462462953277545, 0.008492143915620642, 0.009589925470711297, 0.011510362186192469, 0.01484456720711297, 0.020985878661087864, 0.02835436279637378, 0.03132763467573222, 0.029302323047419806, 0.024990193514644352, 0.020338923029986054, 0.015887868288005577, 0.013112088127615064, 0.014106356781729428, 0.013678685059274756, 0.009027414574616458, 0.007561889818688982, 0.006612567555788006, 0.005932923640167364, 0.005573352510460251, 0.005843030857740586, 0.006319735006973501, 0.008083540359135286, 0.008255153852859135, 0.00746791100069735, 0.00791737491283124, 0.004869192381450488, 0.005142956764295677, 0.003759152719665272, 0.005163386942119944, 0.013513881624825662, 0.012277174860529986, 0.008530280247559275, 0.004431986576011158]
/static/dataset/ferrari\black\2911718073_9257a35692_b.jpg	[0.1543693843799368, 0.020949039790679306, 0.018213739139020538, 0.017214035347551344, 0.019795060722748815, 0.017502530114533964, 0.01643031694312796, 0.01597520487756714, 0.015711394154818325, 0.014952359794628752, 0.013391093996840442, 0.012237114928909953, 0.01221551639020537, 0.012369791666666666, 0.01261663210900474, 0.012062783866508688, 0.012061241113744075, 0.011414827705371248, 0.010623395537124802, 0.009572780904423381, 0.009500271524486572, 0.010257763131911532, 0.01037655509478673, 0.010206852290679304, 0.009990866903633492, 0.00957740916271722, 0.009555810624012638, 0.009433933155608214, 0.009990866903633492, 0.010476834024486572, 0.010822410643759873, 0.011732634774881517, 0.01211060920221169, 0.012536408965244866, 0.012612003850710901, 0.01317048035150079, 0.013310870853080569, 0.014085332740916272, 0.014194868187203792, 0.014804255529225908, 0.015015612657977883, 0.015177601698262244, 0.01566665432464455, 0.016646302330173775, 0.018349501382306475, 0.021055489731437598, 0.02209530509478673, 0.018926490916271722, 0.014568214356240127, 0.011741891291469195, 0.010827038902053712, 0.010479919530015798, 0.009676145339652449, 0.009639119273301737, 0.009816535841232227, 0.009254973834913112, 0.008482054699842022, 0.007477722650078989, 0.0067911976698262246, 0.00668937598736177, 0.006667777448657188, 0.007994544826224328, 0.017320485288309637, 0.05121476352685624]
/static/dataset/ferrari\black\3053451700_0c24eae7ed_b.jpg	[0.24943469221536352, 0.041436256858710566, 0.025586205418381344, 0.01878107853223594, 0.017851401748971193, 0.017178926611796982, 0.01619030778463649, 0.013649101937585733, 0.01173616469478738, 0.011097179355281208, 0.010865429955418381, 0.009710701731824417, 0.009002057613168725, 0.008860060871056242, 0.008551954732510287, 0.008162133487654322, 0.007713370198902606, 0.007677201217421125, 0.008180887774348422, 0.009011434756515776, 0.010033543381344307, 0.01077835648148148, 0.012231813700274348, 0.013359750085733882, 0.013879511745541839, 0.01432559585048011, 0.016099215534979425, 0.01698602537722908, 0.017192322530864196, 0.016483678412208505, 0.016878858024691357, 0.017532578875171467, 0.01724054783950617, 0.016233174725651577, 0.014310860339506173, 0.01140528549382716, 0.008886852709190672, 0.00720164609053498, 0.006301440329218107, 0.006324213391632373, 0.006834597908093278, 0.006689921982167352, 0.006685903206447188, 0.007090459962277092, 0.006873446073388203, 0.00748162079903978, 0.007032857510288066, 0.007181552211934157, 0.006906935871056241, 0.006852012602880659, 0.007307473851165981, 0.00731551140260631, 0.008435410236625515, 0.009543252743484224, 0.009769643775720165, 0.009690607853223595, 0.011540584276406037, 0.010941786694101509, 0.009000718021262002, 0.00687076688957476, 0.0054829496742112484, 0.007190929355281207, 0.013466917438271605, 0.03945232124485597]
/static/dataset/ferrari\black\3144680857_f1bbc74bf4_b.jpg	[0.20276896158854166, 0.033772786458333336, 0.027482350667317707, 0.020815531412760418, 0.018829345703125, 0.018792470296223957, 0.019673665364583332, 0.020476023356119793, 0.018128712972005207, 0.016911824544270832, 0.015843709309895832, 0.016490936279296875, 0.018951416015625, 0.022469838460286457, 0.025178273518880207, 0.02892303466796875, 0.03477605183919271, 0.03889592488606771, 0.035313924153645836, 0.03172429402669271, 0.0263214111328125, 0.021803538004557293, 0.018648783365885418, 0.016557057698567707, 0.013896942138671875, 0.011707305908203125, 0.00974273681640625, 0.008427937825520834, 0.007342020670572917, 0.006525675455729167, 0.005975087483723958, 0.00553131103515625, 0.005414326985677083, 0.005327860514322917, 0.005819956461588542, 0.006242116292317708, 0.006778717041015625, 0.008013407389322916, 0.009342193603515625, 0.011166890462239584, 0.011503855387369791, 0.008683522542317709, 0.005902608235677083, 0.004947662353515625, 0.00498199462890625, 0.005175272623697917, 0.005359649658203125, 0.005648295084635417, 0.005849202473958333, 0.005551656087239583, 0.005940755208333333, 0.006215413411458333, 0.0064239501953125, 0.004947662353515625, 0.0038172403971354165, 0.0031636555989583335, 0.0029652913411458335, 0.0031153361002604165, 0.0030619303385416665, 0.00284576416015625, 0.0027300516764322915, 0.003139495849609375, 0.004978179931640625, 0.006247202555338542]
/static/dataset/ferrari\black\3714394095_a28ee188cb_b.jpg	[0.04910190119219653, 0.018448846188583817, 0.014951849259393064, 0.017523087518063585, 0.022487750632225433, 0.027215329208815028, 0.02477110052384393, 0.022675442557803467, 0.021248701679913294, 0.022143413565751446, 0.02005198925216763, 0.016354599440028903, 0.01518611136199422, 0.012953565299855491, 0.011467553287572254, 0.011010318822254336, 0.010505102962427746, 0.010764766979768785, 0.012414480220375723, 0.012540078576589595, 0.009772681087427746, 0.009287222272398844, 0.00963438177384393, 0.009377540191473988, 0.009855942919075145, 0.010650458363439306, 0.011780843569364163, 0.013369874458092486, 0.015811280708092484, 0.01908812770953757, 0.02145332821531792, 0.023831229678468208, 0.025284783688583817, 0.02641940254696532, 0.026944375451589595, 0.028296321802745664, 0.029154342033959536, 0.029531137102601156, 0.029500090317919076, 0.028829762012283235, 0.027150413204479768, 0.024504380419075145, 0.021772263367052024, 0.019260296242774567, 0.016999525830924855, 0.013781949963872832, 0.01095245890534682, 0.008440491781069363, 0.007550013547687862, 0.006742797145953757, 0.0062742729407514455, 0.006032954750722543, 0.0061839550216763, 0.006141618497109827, 0.005019700596098266, 0.0039020163475433525, 0.004407232207369942, 0.007521789197976879, 0.009511605852601156, 0.0047882609284682085, 0.003821576950867052, 0.004151801842485549, 0.003978222091763006, 0.009421287933526012]
/static/dataset/ferrari\black\3799029235_326325c0d5_b.jpg	[0.08025685166544656, 0.07764458272327965, 0.042311035871156664, 0.04179916270131771, 0.03594264732796486, 0.032902864202049784, 0.032113607247437774, 0.026746088030746705, 0.024215318448023427, 0.022784075311127378, 0.021748890464860907, 0.019764309571742314, 0.01776257091874085, 0.016281284315519767, 0.015113126830161054, 0.012823995699121522, 0.011555751281112739, 0.010256050969985359, 0.008926324579062957, 0.008137067624450952, 0.007565142295021962, 0.007269170937042459, 0.006916007046120058, 0.006509940062225476, 0.005942304172767203, 0.005740700494143484, 0.005540526628843338, 0.005348931643484627, 0.005350361456808199, 0.005776445827232797, 0.007625194454612006, 0.013008441617862371, 0.01916807741581259, 0.01635277498169839, 0.010234603770131771, 0.006742999633967789, 0.006625754941434846, 0.007001795845534407, 0.008391574396046852, 0.011358437042459736, 0.014788559205710103, 0.019642775439238654, 0.02519903001464129, 0.03066663616398243, 0.03118565840043924, 0.025769525530746705, 0.02120127196193265, 0.01617404831625183, 0.011123947657393852, 0.008716142020497804, 0.008774764366764276, 0.00825717194363104, 0.007253442990483162, 0.0057449899341142025, 0.005477614842606149, 0.005754998627379209, 0.009448206442166911, 0.008189970717423133, 0.002965432833089312, 0.0013425947108345535, 0.0010652109260614934, 0.0008121339677891655, 0.0010266059663250366, 0.0018644765739385066]
/static/dataset/ferrari\black\3799161183_cce05c6300_b.jpg	[0.022851276537335284, 0.02856910001830161, 0.02654019491215227, 0.03727380353221083, 0.03516768850658858, 0.03150593658491947, 0.024488412792825768, 0.01969138909224012, 0.016081110450219618, 0.01497729456442167, 0.015416247254758418, 0.01509882869692533, 0.014228072382869692, 0.01355606012079063, 0.012852591965592972, 0.012093361090775988, 0.012053326317715959, 0.011590066800878478, 0.011434217148609078, 0.011338419655929723, 0.012037598371156661, 0.011631531387262079, 0.010670696833821377, 0.010281787609809663, 0.010105920571010249, 0.011043878111273792, 0.012176290263543192, 0.013473130948023425, 0.01452118411420205, 0.014732796486090776, 0.014233791636163982, 0.012403630581991214, 0.013112817990483163, 0.0142380810761347, 0.015103118136896047, 0.015886655838213762, 0.017465169747437774, 0.021377139000732064, 0.025426370333089313, 0.02939410230600293, 0.0302734375, 0.03196776628843338, 0.02775267661054173, 0.02191760843704246, 0.019591302159590044, 0.01832305774158126, 0.015962435944363106, 0.015087390190336749, 0.01538193173499268, 0.014445404008052708, 0.01131983208272328, 0.014196616489751098, 0.01976144994509517, 0.015998181277452415, 0.008554573114934114, 0.005469035962664714, 0.0028367496339677892, 0.0029625732064421668, 0.005000057192532943, 0.0087318699670571, 0.004924277086383602, 0.001365471724011713, 0.0008550283674963396, 0.0011981835651537335]
/static/dataset/ferrari\black\3853040578_7f8a725cff_b.jpg	[0.049674574487554905, 0.02274261072474378, 0.02001023746339678, 0.020619337939238654, 0.01869909864568082, 0.01874628248535871, 0.021971941343338214, 0.0278684914897511, 0.03320455481332357, 0.033812225475841874, 0.027253671760614936, 0.02182467057101025, 0.019118033949487554, 0.01727214494875549, 0.017951306277452415, 0.02051353175329429, 0.0224037449670571, 0.02329880810761347, 0.022137799688872622, 0.0196870996522694, 0.017944157210834553, 0.01805139321010249, 0.017054813323572473, 0.01700619967057101, 0.01568791178623719, 0.014687042459736456, 0.015161740483162519, 0.015228941709370425, 0.015115986456808199, 0.01204188781112738, 0.009868571559297218, 0.009694134333821377, 0.00886913204612006, 0.008132778184480233, 0.007244864110541728, 0.006851665446559297, 0.0059251464128843336, 0.005213099377745242, 0.0046254461017569545, 0.004278001464128843, 0.004370939330161054, 0.004349492130307467, 0.004422412609809663, 0.0042536946376281115, 0.004353781570278184, 0.004561104502196193, 0.004791304447291362, 0.005137319271595901, 0.00581934022693997, 0.005772156387262079, 0.005766437133967789, 0.006018084278916544, 0.006851665446559297, 0.008671817807467057, 0.011085342697657393, 0.0106435303806735, 0.012376464128843339, 0.014095099743777453, 0.012979845351390922, 0.011354147602489019, 0.01128551656295754, 0.012603804447291362, 0.03919404282576867, 0.08174957677525622]
/static/dataset/ferrari\black\3853685157_cd2dd3ab80_b.jpg	[0.06784464220351391, 0.04686356149341142, 0.021404305453879943, 0.020596460926061492, 0.023950802983162517, 0.025597947931918007, 0.024572771778916546, 0.022573892752562226, 0.02183038982430454, 0.024747209004392385, 0.023707734718155196, 0.02431683519399707, 0.025841016196925328, 0.0277955710102489, 0.029704371797218156, 0.028917974469253295, 0.027265110267203515, 0.022746900164714496, 0.01729073252196193, 0.013288685029282576, 0.010896607338945827, 0.009150805270863836, 0.00833295204978038, 0.008474503568814056, 0.009022122071742314, 0.009120779191068814, 0.008704703513909224, 0.008706133327232796, 0.008415881222547585, 0.007553703788433382, 0.006645772327964861, 0.005797893027086384, 0.006208249450951684, 0.006080996065153734, 0.005886541453147877, 0.005833638360175695, 0.005580561401903368, 0.00532176519033675, 0.0052002310578330895, 0.004735541727672035, 0.004722673407759883, 0.004473885889458272, 0.004496762902635432, 0.004465307009516838, 0.0040549505856515376, 0.004378088396778917, 0.00461686722181552, 0.005161626098096632, 0.005317475750366032, 0.005766437133967789, 0.006595728861639824, 0.008094173224743777, 0.008079875091508053, 0.007403573389458272, 0.007688106240849195, 0.008374416636163982, 0.008984946925329428, 0.009408171669106881, 0.009900027452415812, 0.010217446010248902, 0.012230623169838946, 0.013670445186676428, 0.022897030563689604, 0.1324750640556369]
