/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.035174369674554, 0.019684835584449851, 0.018655745297881769, 0.02018139729462996, 0.023194088577647088, 0.012672669428780793, 0.007644444824059707, 0.012850626965249223, 0.011994577307732608, 0.051416563135223213, 0.051730912915777069, 0.025477872188192471, 0.022619892494411716, 0.02147692333063566, 0.0050426767752831713, 0.021890207082454448, 0.011572845392964095, 0.042763577444479332, 0.018648347393032529, 0.0310602029582451, 0.082959952650502378, 0.074183084125441098, 0.068179989368283067, 0.021416694967184246, 0.015432832217177221, 0.0070299988678481935, 0.010582874641340941, 0.020449598491567796, 0.021007796345191489, 0.03284828087721383, 0.1128729992800688, 0.018977697445031104, 0.012667570446546527, 0.0050057502295971952, 0.013293794998228924, 0.017338237860206343]	'000104010301000104010301000104010301000104010301'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.036100705936463619, 0.051758674652421899, 0.078211416165265599, 0.05239800793066883, 0.034577065758842021, 0.014702820289201239, 0.0062131561078959344, 0.01236989989785647, 0.020931378427775624, 0.037777190600274985, 0.03219055733838129, 0.044802110957475536, 0.078912686987731212, 0.019263361107844948, 0.010860938788761503, 0.0049678964063372454, 0.0040746092393107265, 0.014748250599397635, 0.0040929197195314392, 0.017053685602322104, 0.037679787337762248, 0.11923239824051163, 0.02209009517511815, 0.011027503545346552, 0.012459413206139792, 0.0049328254309222155, 0.0030465201538873803, 0.004957091726064863, 0.010233759465606661, 0.043369875242836003, 0.057685457323776466, 0.065054712554274197, 0.010466685005424792, 0.0035880603620237869, 0.0070749019008246507, 0.011093516858255457]	'02030302010200010401020303020102000104010203030201020001040102030302010200010401'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.017463295270538356, 0.0053345520978671322, 0.016969212326157525, 0.16625497836973341, 0.080575217560299839, 0.013726637329221509, 0.010542130153766979, 0.0012302896036449811, 0.0010638247330928151, 0.011058590411510786, 0.0049109104043059881, 0.013023102063608934, 0.095746842140767063, 0.097083646352916803, 0.0069050062029425126, 0.00093566771510754062, 1.0204539277078582e-18, -3.8777249252898609e-18, 0.0098927573307719067, 0.019432254352021363, 0.024933936158044619, 0.081662029518509441, 0.097231927525135889, 0.013328219737107046, 0.014880364967623665, 0.0067536936155160989, 0.013351682750158071, 0.0042339179690320632, 0.011567885654218851, 0.022105896272143391, 0.07756843914007068, 0.030394334470602552, 0.01316818754089971, 0.0052606981371736573, 0.0049400290353472315, 0.0064697738821407657]	'03080404030804040308040403080404'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.035775080455553082, 0.024420993928351488, 0.033924313842693121, 0.11910381880532053, 0.10465825457190778, 0.025890765368877269, 0.0089613886024624487, 0.0041128593655032439, 0.024814611929709469, 0.05783050554919316, 0.01658942065325273, 0.061125285084723986, 0.079107343498932239, 0.013170559160995072, 0.024315765676822896, 0.012394849017415093, 0.023337659636197165, 0.044158316848868742, 0.0091782646458949697, 0.003170555896304281, 0.011239271185818965, 0.02324682621319861, 0.01869162796215975, 0.0061250370315881876, 0.00014065038861280134, 0.001606849588858678, 0.002960888911508564, 0.010923882717896185, 0.072257068843149336, 0.085578580992970416, 0.017497318275476688, 0.0095179789729609166, 0.0025955383889971562, 0.0044862512243450696, 0.00075941772341741091, 0.0063317435123764285]	'03050405000102010501030504050001020105010305040500010201050103050405000102010501'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.069187198230032762, 0.053690845335781195, 0.068164646919788727, 0.04689584125634403, 0.010438488395687366, 0.012466407676630488, 0.0013506988639550542, 0.020650208313724258, 0.012382896131000643, 0.0062675104732915106, 0.0043657865502042406, 0.0082146886827891927, 0.031871847809814835, 0.042539398311464902, 0.0041774992988090473, 0.003304677277347593, 0.00028243351655096586, 0.00083596075054319906, 0.14993132799507103, 0.061382928590897896, 0.11541093844988737, 0.039319825241986038, 0.011372885359641167, 0.0018789658360530703, 0.016406099166093913, 0.048144549100886801, 0.045925611173101684, 0.019944321439889917, 0.01967017831529751, 0.017187190235941837, 0.018156330094707282, 0.015177691614914578, 0.0034288835452729077, 0.01481368864747774, 0.0026200809654030595, 0.0021413771798286033]	'00030203010203020701000302030102030207010003020301020302070100030203010203020701'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.013608513185789692, 0.035975151979588234, 0.024213201216551496, 0.076147049219904769, 0.051540629261576473, 0.0073450206814302445, 0.021925334652179745, 0.015744324404508198, 0.017957873306318799, 0.03080561707526485, 0.06416700612443943, 0.061447215556681242, 0.022579655087613369, 0.012869918550224718, 0.0090037304196049304, 0.015279934604082456, 0.019232041419594569, 0.021579443682942404, 0.072161671053290646, 0.066895606333092342, 0.0067355169448772186, 0.013622998208146692, 0.016517887465746089, 0.0063611871208793056, 0.011883945381939039, 0.02374069160332758, 0.076722159894871397, 0.038264426497767567, 0.040694420872578706, 0.014057933460371696, 0.012410964706566189, 0.0010892701004329025, 0.0082107586787063432, 0.016757443660403878, 0.01492479968354838, 0.037526575152493712]	'03030402010102010601030304020101020106010303040201010201060103030402010102010601'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.048229788953559984, 0.037697585683629922, 0.030028192096512255, 0.045912883865466207, 0.013409625612829452, 0.0088654017076162453, 0.010425221543347388, 0.0061186250098889524, 0.032648469447724822, 0.021076167690008543, 0.026908676083036979, 0.044617663945272369, 0.046086397116962774, 0.057804261968355274, 0.011726033170518404, 0.012693956735697275, 0.011643173252523967, 0.020326244322318783, 0.061552312126047608, 0.020480711247466504, 0.020807957104811363, 0.03701225705730974, 0.036645672083958566, 0.027521799941517797, 0.0074082366862118759, 0.010791686141383466, 0.031155158604111378, 0.021396996934419984, 0.028462660183380898, 0.038629636187961287, 0.050702770625484415, 0.04082631124622528, 0.020946211581358912, 0.017740980633363847, 0.026702732004420023, 0.014997473883347186]	'00020302010108010201000203020101080102010002030201010801020100020302010108010201'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.067463597402469544, 0.061571634461302739, 0.037954905336840747, 0.021372002572610301, 0.013393027116654788, 0.018408397856510574, 0.011220518120571328, 0.019412683455658639, 0.01526248075334422, 0.010166211679850662, 0.027666790647526564, 0.020255666634295226, 0.02074831077581429, 0.0064519302474053495, 0.0082839774337225124, 0.013893887287488228, 0.0093933987115029319, 0.0095356699251850207, 0.02840672174091426, 0.043443458083579675, 0.036161931187023384, 0.050505006082578144, 0.19366182308801874, 0.039880411121856967, 0.028338283068762363, 0.0079698302420383327, 0.025431495448190049, 0.013728207676556296, 0.017955606643564444, 0.019994996745024331, 0.028060801592090557, 0.023095412452368413, 0.0093190446898318048, 0.008198534942287684, 0.012478075151562415, 0.02091522605788312]	'0003010302010301000301030201030100030103020103010003010302010301'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.0038323112501750232, 0.038669921823145902, 0.13092971345913482, 0.052846665902230944, 0.033962635104309552, 0.027833994040301586, 0.013701286227144326, 0.0025447586000656975, 0.011763739123858714, 0.0071914957202760671, 0.018441140027391171, 0.012126973139618882, 0.069440404314559265, 0.087619186686349479, 0.027518090349773594, 0.0016223827197398596, 0.0070949758310057372, 0.0038268414073017311, 0.06154038419138607, 0.032240019486510875, 0.021749626593541002, 0.043426846076594791, 0.0047077720706626552, 0.016481600221721064, 0.010140825767188513, 0.022393493791410757, 0.047205059575737902, 0.0088936792506698788, 0.026728676931441223, 0.040114506295072565, 0.031744260790358615, 0.053836444055708858, 0.0029823548469328719, 0.011066046070853163, 0.0043059756591947527, 0.0094758632904327466]	'02060302010104010501020603020101040105010206030201010401050102060302010104010501'
/static/dataset/ferrari\black\2828686873_2fa36f83d7_b.jpg	[0.04231574054809089, 0.038607988264513837, 0.058882382535260354, 0.047226527098507345, 0.05373214424411292, 0.020274792293450337, 0.01132742173937545, 0.018299329393357735, 0.01617695101643982, 0.049980883196876574, 0.029647053946407254, 0.038204223507699663, 0.020386105750346235, 0.019800231813186738, 0.0056765661780450536, 0.0048497273864608892, 0.0071257179399294287, 0.025927830095664236, 0.077296507931374242, 0.051980004148053857, 0.031025382751345282, 0.028897565556371577, 0.016843463894802378, 0.0061213583817697091, 0.020453517547419458, 0.016735076780330132, 0.050550586997598672, 0.097031134714700304, 0.019542172821116106, 0.0062629983902145634, 0.00042161891982367346, 0.0040598070385522295, 0.0020627567017857521, 0.011515069713023917, 0.0026764544788051813, 0.048082879547210022]	'02020402030200020101020204020302000201010202040203020002010102020402030200020101'
